Date,Spread,Mcap,P/B,P/E,Close,Volatility,30y_yield,AA Yield,Mkt_rf,smb,hml,rf,Yield,3m,Inflation
1990-07-13,0.97,2.141M,2.1259,15.9007,367.31,13.54,8.449,9.26,2.04,-0.83,-1.57,0.169,,,
1990-07-20,0.95,2.109M,2.0935,15.686,361.61,13.18,8.538,9.24,-1.76,-0.3,0.53,0.169,,,
1990-07-27,0.93,2.061M,2.05,15.3682,353.44,13.5,8.478,9.26,-2.48,-0.05,1.13,0.169,,,
1990-08-03,0.95,2.01M,1.9843,14.9004,344.86,13.53,8.555,9.19,-2.93,-2.57,1.53,0.164,3.26,,4.8
1990-08-10,1,1.956M,1.9299,14.4927,335.52,16.41,8.777,9.34,-2.65,0.34,-0.53,0.164,,,
1990-08-17,0.99,1.907M,1.8824,14.1611,327.83,17.56,8.943,9.37,-2.59,-0.88,0.59,0.164,,,
1990-08-24,1.04,1.815M,1.7905,13.4727,311.51,19.35,9.155,9.5,-5.45,-2.42,2.06,0.164,,,
1990-08-31,1,1.88M,1.8526,13.9635,322.56,22.96,8.984,9.56,3.55,0.26,-1.52,0.164,3.56,,5.6
1990-09-07,0.98,1.885M,1.8626,14.0712,323.4,23.42,8.913,9.56,0.14,-0.15,0.01,0.149,,,
1990-09-14,1.03,1.845M,1.8239,13.8008,316.83,22.87,9.022,9.54,-1.98,0.22,0,0.149,,,
1990-09-21,1.15,1.816M,1.7945,13.5861,311.32,21.02,9.123,9.51,-2.11,-1.11,0.97,0.149,,,
1990-09-28,1.13,1.784M,1.7569,13.356,306.05,21.9,8.949,9.63,-2.27,-2.8,-0.34,0.149,,,
1990-10-05,1.11,1.81M,1.7729,14.1837,311.5,20.44,8.789,9.54,1.44,-1.68,0.02,0.17,3.75,,6.2
1990-10-12,1.15,1.744M,1.7071,13.6664,300.03,20.09,8.958,9.59,-4.11,-1.27,1.55,0.17,,,
1990-10-19,1.22,1.824M,1.7828,14.2947,312.48,22.69,8.753,9.57,3.44,-2.44,-2.02,0.17,,,
1990-10-26,1.3,1.783M,1.7418,13.9626,304.71,23.18,8.775,9.45,-2.13,0.93,-0.28,0.17,,7.361,
1990-11-02,1.29,1.825M,1.7747,14.2252,311.85,22.63,8.689,9.47,1.86,-2.64,0.49,0.141,3.88,7.298,6.3
1990-11-09,1.37,1.836M,1.7865,14.337,313.74,21.36,8.622,9.38,0.87,-0.14,-0.34,0.141,,7.265,
1990-11-16,1.34,1.857M,1.8078,14.4846,317.12,22.05,8.45,9.3,1.41,1.07,-0.5,0.141,,7.298,
1990-11-23,1.27,1.845M,1.7962,14.4179,315.1,19.02,8.447,9.25,-0.73,0.54,-0.63,0.141,,7.245,
1990-11-30,1.33,1.889M,1.8347,14.728,322.22,16.74,8.486,9.2,2.24,0.21,-1.31,0.141,3.81,7.26,6.3
1990-12-07,1.33,1.917M,1.8643,14.9201,327.75,15.54,8.184,9.13,1.98,0.97,-0.11,0.149,,7.109,
1990-12-14,1.34,1.913M,1.8605,14.8834,326.82,15.22,8.188,9.03,-0.36,-0.15,-0.71,0.149,,7.057,
1990-12-21,1.42,1.942M,1.8883,15.1019,331.75,12.67,8.281,9.02,1.22,-1.09,-0.13,0.149,,6.774,
1990-12-28,1.43,1.924M,1.8721,14.9842,328.72,11.18,8.298,9.04,-0.84,0.28,-0.12,0.149,,6.627,
