Date,Spread,Mcap,P/B,P/E,Close,Volatility,30y_yield,AA Yield,Mkt_rf,smb,hml,rf,Yield,3m,Inflation
1994-01-07,0.74,2.89M,2.6576,22.2543,469.9,5.46,6.227,7.01,0.41,0.07,0.36,0.063,,3.069,
1994-01-14,0.74,2.924M,2.6861,22.4894,474.91,6.53,6.296,6.87,1.05,-0.14,-0.34,0.063,,3.027,
1994-01-21,0.72,2.921M,2.6858,22.5046,474.72,6.4,6.281,6.92,-0.07,1.16,-0.23,0.063,,2.997,
1994-01-28,0.71,2.95M,2.7193,22.9829,478.7,6.59,6.217,6.91,0.88,-0.78,0.98,0.063,,2.997,
1994-02-04,0.68,2.901M,2.6474,22.204,469.81,9.81,6.362,6.93,-1.82,0.85,0.1,0.053,2.67,3.275,2.5
1994-02-11,0.69,2.904M,2.6508,22.2316,470.18,10.08,6.407,7.03,0.19,0.57,-0.43,0.053,,3.326,
1994-02-18,0.7,2.889M,2.638,22.1327,467.69,9.61,6.625,7.06,-0.29,1.06,-0.76,0.053,,3.347,
1994-02-25,0.68,2.882M,2.6278,22.0547,466.07,10.63,6.713,7.23,-0.42,-0.33,-0.04,0.053,,3.44,
1994-03-04,0.65,2.879M,2.6306,22.0681,464.74,10.84,6.839,7.36,-0.06,0.51,-0.47,0.067,2.69,3.594,2.5
1994-03-11,0.64,2.888M,2.6394,22.1448,466.44,10.67,6.904,7.44,0.3,0.17,0.32,0.067,,3.563,
1994-03-18,0.64,2.913M,2.6681,22.4124,471.06,7.94,6.919,7.46,1.23,0.75,-0.06,0.067,,3.563,
1994-03-25,0.66,2.848M,2.6089,21.9183,460.58,8.26,7.016,7.49,-2.04,0.5,1.01,0.067,,3.543,
1994-04-01,0.65,2.775M,2.4834,20.4377,445.77,10.16,7.254,7.65,-3.9,-2.31,0.75,0.067,2.74,3.677,2.5
1994-04-08,0.66,2.788M,2.487,20.5553,447.1,12.36,7.264,7.9,0.57,1.07,-0.56,0.068,,3.625,
1994-04-15,0.64,2.786M,2.4929,20.6407,446.18,12.38,7.289,7.87,-0.75,-1.54,1.91,0.068,,3.666,
1994-04-22,0.62,2.796M,2.5123,20.8086,447.63,13.11,7.233,7.93,-0.09,-1.86,0.65,0.068,,3.832,
1994-04-29,0.65,2.84M,2.5097,20.7517,450.91,13.58,7.307,7.81,0.95,1.51,-0.41,0.068,,3.945,
1994-05-06,0.62,2.819M,2.4886,20.5528,447.82,13.59,7.541,7.97,-0.67,0.65,-0.51,0.079,2.85,4.276,2.4
1994-05-13,0.62,2.793M,2.4688,20.389,444.14,12.96,7.492,8.12,-1.31,-0.72,0.08,0.079,,4.204,
1994-05-20,0.64,2.866M,2.5541,21.1928,454.92,10.83,7.303,7.89,2.16,-1.7,0.51,0.079,,4.235,
1994-05-27,0.64,2.883M,2.5672,21.3034,457.33,10.64,7.39,7.98,0.66,-0.34,0.55,0.079,,4.265,
1994-06-03,0.65,2.897M,2.5511,21.046,460.13,9.42,7.273,7.96,0.7,0.26,-0.35,0.078,2.84,4.224,2.3
1994-06-10,0.66,2.888M,2.5499,21.0602,458.67,8.61,7.314,7.85,-0.43,-0.25,1.13,0.078,,4.204,
1994-06-17,0.69,2.887M,2.5675,21.1612,458.45,8.76,7.447,7.94,-0.17,0.24,0.31,0.078,,4.204,
1994-06-24,0.71,2.79M,2.4873,20.4952,442.8,9.28,7.516,8.02,-3.79,-0.67,1.01,0.078,,4.245,
1994-07-01,0.69,2.836M,2.4531,18.1993,446.2,8.89,7.614,8.11,0.92,0.22,-0.19,0.069,2.82,4.296,2.5
1994-07-08,0.68,2.844M,2.4941,18.9072,449.55,8.87,7.693,8.18,0.58,-0.63,-0.16,0.069,,4.462,
1994-07-15,0.69,2.87M,2.5177,19.0872,454.16,9.32,7.545,8.17,1.21,0.39,-0.16,0.069,,4.369,
1994-07-22,0.69,2.862M,2.5109,19.0355,453.11,9.44,7.564,8.06,-0.39,-0.46,0.5,0.069,,4.473,
1994-07-29,0.69,2.916M,2.5177,19.0154,458.26,9.34,7.396,8.05,0.95,-0.7,0.02,0.069,,4.359,
1994-08-05,0.68,2.909M,2.5074,18.7985,457.09,7.23,7.546,7.96,-0.21,0,0.59,0.092,2.85,4.566,2.8
1994-08-12,0.67,2.942M,2.5341,18.9975,461.94,6.41,7.482,8.12,1.13,0.18,-1.25,0.092,,4.473,
1994-08-19,0.66,2.955M,2.547,19.094,463.68,6.73,7.485,8.07,0.51,0.84,-1.02,0.092,,4.659,
1994-08-26,0.66,3.02M,2.6024,19.5093,473.8,7.65,7.482,8.13,2.06,-0.14,-1.33,0.092,,4.66,
1994-09-02,0.66,3.003M,2.5843,19.4131,470.99,7.79,7.49,8.09,-0.39,1.02,0.54,0.091,2.78,4.648,2.9
1994-09-09,0.66,2.985M,2.5711,19.3447,468.18,8.2,7.703,8.22,-0.48,1.03,-0.51,0.091,,4.669,
1994-09-16,0.65,3.005M,2.5873,19.4663,471.19,8.99,7.772,8.31,0.73,0.82,-0.9,0.091,,4.711,
1994-09-23,0.63,2.934M,2.5265,19.0087,459.67,10.12,7.793,8.41,-2.54,0.4,0.3,0.091,,4.898,
1994-09-30,0.6,2.954M,2.4874,17.6905,462.69,10.1,7.817,8.5,0.79,0.31,-0.85,0.091,2.77,4.773,3
1994-10-07,0.64,2.905M,2.4454,17.4246,455.1,9.93,7.909,8.57,-1.75,-0.3,0.02,0.096,,5.032,
1994-10-14,0.64,2.99M,2.5194,17.9371,469.1,11.31,7.828,8.52,2.56,-1.05,-1.09,0.096,,4.981,
1994-10-21,0.64,2.979M,2.4978,17.8012,464.89,11.12,7.978,8.54,-0.86,0.21,-0.12,0.096,,5.116,
1994-10-28,0.64,3.038M,2.5448,18.1542,473.77,11.85,7.958,8.65,1.61,-1.24,-0.64,0.096,,5.126,
1994-11-04,0.64,2.975M,2.4739,17.5642,462.28,11.69,8.159,8.68,-1.87,1.49,-0.18,0.092,2.8,5.303,2.6
1994-11-11,0.63,2.976M,2.4749,17.5719,462.35,11.6,8.149,8.74,-0.32,-0.77,-0.59,0.092,,5.365,
1994-11-18,0.63,2.973M,2.473,17.5569,461.47,10.52,8.131,8.7,-0.33,0.34,-1.49,0.092,,5.469,
1994-11-25,0.63,2.913M,2.4239,17.2012,452.29,11,7.931,8.63,-2.15,-0.97,1.33,0.092,,5.428,
1994-12-02,0.64,2.919M,2.4249,17.1953,453.3,11.62,7.905,8.57,0.03,0.1,0.26,0.111,2.84,5.782,2.7
1994-12-09,0.64,2.881M,2.3975,17.0298,446.96,10.27,7.858,8.47,-1.89,-1.81,1.12,0.111,,5.813,
1994-12-16,0.64,2.958M,2.4618,17.4874,458.8,10.58,7.854,8.46,2.44,-0.83,-0.1,0.111,,5.698,
1994-12-23,0.63,2.967M,2.466,17.5178,459.83,10.49,7.827,8.45,0.51,1.2,-0.99,0.111,,5.676,
1994-12-30,0.65,2.966M,2.4564,17.3733,459.27,10.37,7.881,8.43,0.16,2.04,-0.21,0.111,,5.687,
1995-01-06,0.64,2.976M,2.4426,15.412,460.68,8.4,7.86,8.49,0.17,-1.27,1.6,0.104,2.89,5.907,2.7
1995-01-13,0.62,3.008M,2.4686,15.577,465.97,7.77,7.792,8.46,1.07,-0.41,0.25,0.104,,5.687,
1995-01-20,0.62,3.022M,2.4632,15.5425,464.78,6.61,7.891,8.44,-0.22,0.24,-0.23,0.104,,5.896,
1995-01-27,0.61,3.055M,2.4929,15.6842,470.39,5.91,7.73,8.49,0.79,-1.63,0.87,0.104,,5.907,
1995-02-03,0.59,3.112M,2.5261,15.868,478.64,6.62,7.626,8.33,1.76,-1.27,0.41,0.099,2.83,5.948,2.8
1995-02-10,0.59,3.13M,2.5403,15.9573,481.46,6.31,7.668,8.28,0.83,1.23,-0.87,0.099,,5.969,
1995-02-17,0.59,3.139M,2.5454,15.987,481.97,6.75,7.586,8.26,-0.03,-0.43,0.65,0.099,,5.854,
1995-02-24,0.59,3.183M,2.5808,16.2147,488.11,6.4,7.528,8.23,0.95,-0.69,0.96,0.099,,5.875,
1995-03-03,0.59,3.167M,2.5631,16.1107,485.42,6.71,7.541,8.17,-0.33,0.83,-1.05,0.115,2.73,5.891,2.9
1995-03-10,0.59,3.195M,2.5873,16.2567,489.57,7.98,7.462,8.22,0.47,-0.58,-1.19,0.115,,5.933,
1995-03-17,0.58,3.235M,2.6204,16.4643,495.52,7.34,7.367,8.04,0.95,-0.33,-0.55,0.115,,5.902,
1995-03-24,0.59,3.263M,2.6505,16.6535,500.97,7.69,7.363,8.1,0.9,-0.47,-0.33,0.115,,5.839,
1995-03-31,0.57,3.273M,2.5359,15.7779,500.71,7.52,7.431,8.08,0.09,0.57,0.84,0.115,2.67,5.87,2.9
1995-04-07,0.57,3.308M,2.558,15.8788,506.42,6.92,7.39,8.05,0.71,-1.45,1.74,0.111,,5.85,
1995-04-14,0.58,3.332M,2.5735,15.9757,509.23,6.65,7.335,8.04,0.73,0.98,-0.75,0.111,,5.745,
1995-04-21,0.58,3.326M,2.5823,16.0358,508.49,5.75,7.333,8.02,-0.49,-0.34,1.07,0.111,,5.776,
1995-04-28,0.57,3.356M,2.5982,16.1629,514.71,5.72,7.336,8,1.15,0.27,-0.39,0.111,,5.86,
1995-05-05,0.56,3.39M,2.6115,16.3082,520.12,5.82,7.018,7.89,0.68,-1.46,0.92,0.134,2.61,5.756,3.1
1995-05-12,0.56,3.426M,2.6372,16.4681,525.55,5.76,6.989,7.69,1.28,0.12,0.04,0.134,,5.86,
1995-05-19,0.55,3.397M,2.6072,16.2804,519.19,7.42,6.917,7.6,-1.06,1.23,0.42,0.134,,5.86,
1995-05-26,0.56,3.418M,2.6299,16.4367,523.65,8.34,6.748,7.51,0.68,-0.72,0.82,0.134,,5.828,
1995-06-02,0.58,3.486M,2.6674,16.6711,532.51,9.74,6.529,7.33,1.36,-1.38,0.95,0.118,2.54,5.568,3.2
1995-06-09,0.59,3.455M,2.6448,16.529,527.94,10.16,6.726,7.28,-0.58,2.35,-1.52,0.118,,5.756,
1995-06-16,0.6,3.538M,2.707,16.9439,539.83,10.19,6.615,7.37,2.16,-0.07,-1.43,0.118,,5.641,
1995-06-23,0.6,3.601M,2.7664,17.3953,549.71,11.03,6.5,7.27,1.78,-0.66,-0.38,0.118,,5.511,
1995-06-30,0.6,3.563M,2.6904,16.4428,544.75,10.6,6.617,7.31,-0.83,1.15,-0.1,0.118,2.48,5.568,3
1995-07-07,0.61,3.636M,2.7476,16.6351,556.37,10.66,6.524,7.29,2.21,-0.42,-0.28,0.113,,5.547,
1995-07-14,0.62,3.648M,2.7646,16.7376,559.89,9.32,6.604,7.26,0.84,1.41,-0.99,0.113,,5.599,
1995-07-21,0.65,3.606M,2.7323,16.5434,553.62,10.13,6.962,7.48,-1.41,0.15,0.27,0.113,,5.584,
1995-07-28,0.63,3.67M,2.7776,16.8207,562.93,10.21,6.9,7.56,2.14,0.59,-0.64,0.113,,5.578,
1995-08-04,0.62,3.659M,2.7303,16.5285,558.94,9.24,6.908,7.57,-0.8,0.41,1.26,0.116,2.41,5.568,2.8
1995-08-11,0.63,3.642M,2.7142,16.4321,555.11,8.73,6.99,7.59,-0.32,0.91,-0.2,0.116,,5.578,
1995-08-18,0.62,3.677M,2.7356,16.5649,559.21,8.21,6.897,7.64,1.16,0.63,-0.32,0.116,,5.573,
1995-08-25,0.62,3.683M,2.7435,16.6231,560.1,7.52,6.704,7.58,0,-0.05,0.68,0.116,,5.485,
1995-09-01,0.63,3.71M,2.749,16.6219,563.84,5.6,6.616,7.41,0.64,-0.43,1.6,0.108,2.42,5.452,2.6
1995-09-08,0.62,3.765M,2.7904,16.8784,572.68,5.45,6.587,7.33,1.91,0.72,-1.15,0.108,,5.515,
1995-09-15,0.62,3.838M,2.8431,17.1983,583.35,5.73,6.479,7.29,1.31,-1.49,0.64,0.108,,5.438,
1995-09-22,0.62,3.828M,2.8452,17.2004,581.73,5.89,6.584,7.32,-0.35,-0.01,-1.38,0.108,,5.338,
1995-09-29,0.62,3.853M,2.8437,17.2315,584.41,5.9,6.501,7.33,0.15,-1.24,1.63,0.108,,5.411,
1995-10-06,0.62,3.843M,2.8104,16.8912,582.49,5.84,6.42,7.2,-0.98,-2.43,1.79,0.118,2.35,5.462,2.5
1995-10-13,0.62,3.868M,2.8213,16.9641,584.5,6.54,6.304,7.14,0.42,-0.74,0.56,0.118,,5.438,
1995-10-20,0.62,3.896M,2.8392,17.0717,587.46,6.68,6.361,7.08,0.34,0.13,-1.21,0.118,,5.422,
1995-10-27,0.63,3.841M,2.8064,16.8825,579.7,7.39,6.355,7.1,-1.66,-1.16,-0.66,0.118,,5.401,
1995-11-03,0.64,3.903M,2.8451,17.1124,590.57,7.87,6.283,7.06,2.23,0.19,-0.99,0.105,2.34,5.474,2.8
1995-11-10,0.67,3.906M,2.8703,17.2743,592.72,7.97,6.337,7.04,0.25,0.35,-0.19,0.105,,5.563,
1995-11-17,0.67,3.964M,2.9106,17.5172,600.07,8.25,6.232,7.02,0.71,-0.99,0.18,0.105,,5.495,
1995-11-24,0.68,3.966M,2.9108,17.5187,599.97,8.49,6.249,7.03,-0.3,-0.65,0.96,0.105,,5.474,
1995-12-01,0.67,4.014M,2.9028,17.5641,606.98,8.38,6.086,6.94,1.46,0.69,-0.49,0.122,2.3,5.442,2.6
1995-12-08,0.67,4.073M,2.965,17.8888,617.48,7.97,6.053,6.81,1.14,-0.81,-0.32,0.122,,5.484,
1995-12-15,0.67,4.069M,2.9689,17.9032,616.34,8.04,6.097,6.83,-0.7,0.2,0.36,0.122,,5.359,
1995-12-22,0.67,4.016M,2.9566,17.8381,611.96,10.01,6.063,6.87,-0.34,0.82,0.17,0.122,,5.025,
1995-12-29,0.66,4.053M,2.9384,17.7283,615.93,9.56,5.948,6.76,0.78,0.26,-0.05,0.122,,5.077,
1996-01-05,0.67,4.055M,2.9363,17.85,616.71,9.59,6.044,6.75,-0.48,-0.26,0.39,0.107,2.24,5.182,2.5
1996-01-12,0.66,3.96M,2.8645,17.4166,601.81,11.9,6.147,6.87,-2.32,0.01,0.88,0.107,,5.171,
1996-01-19,0.66,4.027M,2.9284,17.8319,611.83,12.06,5.973,6.77,1.28,-1.83,0.29,0.107,,5.109,
1996-01-26,0.66,4.091M,2.9754,18.1165,621.62,12.52,6.044,6.81,1.67,0.47,-1.35,0.107,,5.098,
1996-02-02,0.64,4.198M,3.0201,18.3884,635.84,11.36,6.163,6.82,2.27,-0.41,-0.81,0.098,2.26,4.984,2.7
1996-02-09,0.63,4.337M,3.1157,19.0127,656.37,11.93,6.098,6.87,2.7,-1.88,-0.38,0.098,,4.932,
1996-02-16,0.64,4.261M,3.0761,18.7782,647.98,12.48,6.243,6.86,-0.82,1.01,0.71,0.098,,4.89,
1996-02-23,0.64,4.353M,3.131,19.1328,659.08,11.42,6.405,7.13,1.61,-0.42,-1.15,0.098,,4.953,
1996-03-01,0.66,4.264M,3.0532,18.6054,644.37,12.27,6.367,7.2,-2.02,1.68,1.19,0.098,2.16,5.005,2.7
1996-03-08,0.69,4.204M,3.0037,18.3037,633.5,15.72,6.711,7.21,-1.55,0.13,-0.4,0.098,,5.026,
1996-03-15,0.68,4.312M,3.0434,18.543,641.43,15.51,6.739,7.42,1.42,0.85,-1.46,0.098,,5.151,
1996-03-22,0.69,4.393M,3.0865,18.8097,650.62,15.69,6.655,7.41,1.14,0.01,0.54,0.098,,5.109,
1996-03-29,0.7,4.39M,3.0651,18.6629,645.5,15.41,6.667,7.39,-0.52,1.08,1.14,0.098,,5.14,
1996-04-05,0.71,4.472M,3.0595,18.8747,655.86,14.26,6.824,7.41,1.4,0.01,-0.51,0.114,2.18,5.161,2.8
1996-04-12,0.7,4.337M,2.974,18.3428,636.71,15.22,6.802,7.6,-2.7,2.1,-0.61,0.114,,5.078,
1996-04-19,0.69,4.404M,3.0126,18.5833,645.07,11.6,6.786,7.5,1.49,1.36,-1.59,0.114,,5.026,
1996-04-26,0.68,4.471M,3.0531,18.8373,653.46,11.31,6.789,7.48,1.79,1.25,-1.12,0.114,,5.119,
1996-05-03,0.68,4.383M,2.988,18.4171,641.63,11.29,7.117,7.65,-1.38,2.16,-0.33,0.106,2.19,5.14,2.9
1996-05-10,0.68,4.442M,3.0503,18.7781,652.09,11.86,6.928,7.72,1.37,-0.45,0.22,0.106,,5.14,
1996-05-17,0.68,4.565M,3.1337,19.3772,668.91,10.84,6.833,7.57,2.62,0.45,-1.14,0.106,,5.161,
1996-05-24,0.67,4.633M,3.1858,19.7072,678.51,9.54,6.834,7.53,1.12,0.29,0.21,0.106,,5.181,
1996-05-31,0.66,4.562M,3.1143,19.1652,669.12,10.35,6.989,7.61,-1.27,0.91,0.07,0.106,2.15,5.182,2.9
1996-06-07,0.67,4.591M,3.1447,19.3355,673.31,10.96,7.031,7.67,0.17,-1.36,-0.02,0.1,,5.251,
1996-06-14,0.69,4.536M,3.1181,19.2123,665.85,9.62,7.089,7.78,-1.05,0.11,1.09,0.1,,5.199,
1996-06-21,0.7,4.548M,3.1242,19.2423,666.84,9.01,7.096,7.74,-0.86,-2.52,0.42,0.1,,5.276,
1996-06-28,0.7,4.574M,3.1059,19.0211,670.63,8.09,6.871,7.66,0.58,-0.28,0.9,0.1,,5.157,
1996-07-05,0.71,4.478M,3.0061,18.3209,657.44,10.27,7.192,7.61,-1.98,0.37,1.19,0.112,2.14,5.292,2.8
1996-07-12,0.69,4.408M,2.9561,18.0123,646.19,10.82,7.03,7.73,-2.62,-3.13,3.2,0.112,,5.292,
1996-07-19,0.71,4.371M,2.9498,18.0274,638.73,13.74,6.974,7.61,-1.07,0.38,-0.29,0.112,,5.296,
1996-07-26,0.72,4.346M,2.9365,17.9481,635.9,14.67,7.008,7.62,-0.87,-2.06,1.08,0.112,,5.282,
1996-08-02,0.72,4.527M,3.0173,18.4484,662.49,16.92,6.743,7.55,3.88,-1.29,-0.86,0.103,2.24,5.199,3
1996-08-09,0.73,4.521M,3.0193,18.4552,662.1,16.74,6.69,7.35,-0.06,0.85,-0.12,0.103,,5.147,
1996-08-16,0.72,4.544M,3.0341,18.5492,665.21,15.25,6.768,7.39,0.61,-0.41,0.8,0.103,,5.182,
1996-08-23,0.7,4.554M,3.042,18.6011,667.03,12.11,6.955,7.48,0.3,0.45,0.03,0.103,,5.168,
1996-08-30,0.69,4.468M,2.9693,18.1843,651.99,11.71,7.118,7.66,-1.54,2.6,-0.27,0.103,,5.281,
1996-09-06,0.68,4.493M,2.9853,18.2832,655.68,11.58,7.11,7.75,0.28,-0.14,0.42,0.109,2.19,5.324,2.9
1996-09-13,0.69,4.664M,3.1022,19.0295,680.54,10.05,6.948,7.71,3.4,-1.52,-1.33,0.109,,5.213,
1996-09-20,0.7,4.708M,3.1373,19.2426,687.03,10.11,7.043,7.63,0.86,-0.12,-1.16,0.109,,5.272,
1996-09-27,0.69,4.70M,3.1326,19.2233,686.19,9.58,6.908,7.58,0.19,0.75,-0.68,0.109,,5.022,
1996-10-04,0.68,4.795M,3.1425,19.0805,701.46,9.85,6.741,7.46,1.88,-1.39,0.71,0.106,2.17,5.001,3
1996-10-11,0.67,4.784M,3.1383,19.0561,700.66,8.91,6.845,7.43,-0.33,0.08,0.31,0.106,,5.15,
1996-10-18,0.68,4.855M,3.1912,19.3786,710.82,7.41,6.801,7.4,0.94,-1.27,0.63,0.106,,5.105,
1996-10-25,0.68,4.782M,3.151,19.1408,700.92,7.02,6.815,7.39,-1.66,-0.32,2.14,0.106,,5.116,
1996-11-01,0.68,4.846M,3.1463,19.2009,703.77,7.41,6.679,7.28,0.04,-1.85,1.48,0.102,2.1,5.157,3
1996-11-08,0.68,5.039M,3.2738,19.9974,730.82,8.89,6.506,7.18,3.32,-2.05,-0.84,0.102,,5.181,
1996-11-15,0.67,5.083M,3.3052,20.1869,737.62,8.32,6.457,7.08,0.78,-0.45,0.48,0.102,,5.136,
1996-11-22,0.7,5.161M,3.355,20.4946,748.73,7.85,6.436,7.05,1.12,-1.03,1.49,0.102,,5.157,
1996-11-29,0.69,5.22M,3.3772,20.7139,757.02,8.3,6.35,7.06,1.06,-0.03,-0.02,0.102,,5.125,
1996-12-06,0.69,5.114M,3.2968,20.2375,739.6,9.05,6.511,7.1,-1.83,2.14,-0.01,0.115,2.01,5.023,3.3
1996-12-13,0.69,5.039M,3.2672,20.1105,728.64,11.22,6.572,7.21,-1.43,1.36,0.3,0.115,,4.918,
1996-12-20,0.69,5.167M,3.3558,20.6635,748.87,12.22,6.606,7.28,2.02,-2.05,1.11,0.115,,5.023,
1996-12-27,0.7,5.217M,3.3918,20.9124,756.79,12.27,6.562,7.21,0.83,-0.59,-0.12,0.115,,5.095,
1997-01-03,0.7,5.153M,3.1926,19.2013,748.03,14.15,6.732,7.29,-0.69,2.03,-0.75,0.112,2,5.157,3.3
1997-01-10,0.69,5.234M,3.2415,19.4898,759.5,14.2,6.845,7.42,1.52,0.1,-0.6,0.112,,5.157,
1997-01-17,0.68,5.43M,3.3281,20.0289,776.17,14.29,6.822,7.39,1.79,-1.38,0.52,0.112,,5.147,
1997-01-24,0.69,5.391M,3.3035,19.8816,770.52,13.21,6.89,7.41,-0.56,0.66,-0.16,0.112,,5.157,
1997-01-31,0.64,5.526M,3.3421,20.3249,786.16,12.47,6.789,7.48,1.48,-1.07,-0.37,0.112,1.95,5.147,3
1997-02-07,0.64,5.552M,3.3519,20.348,789.56,13.52,6.704,7.34,0.02,-1.28,1.69,0.096,,5.116,
1997-02-14,0.63,5.684M,3.4345,20.8462,808.48,12.65,6.525,7.26,1.99,-2.02,1.09,0.096,,5.084,
1997-02-21,0.64,5.639M,3.4055,20.6703,801.77,13.23,6.643,7.23,-1.05,0.21,1.69,0.096,,5.085,
1997-02-28,0.63,5.565M,3.3514,20.3625,790.82,14.04,6.803,7.38,-1.41,-0.19,1.23,0.096,1.88,5.22,3
1997-03-07,0.63,5.691M,3.4146,20.8151,804.97,14.03,6.814,7.47,1.64,-0.91,0.83,0.107,,5.209,
1997-03-14,0.63,5.62M,3.3707,20.5512,793.17,14.83,6.941,7.52,-1.54,0.23,0.66,0.107,,5.23,
1997-03-21,0.61,5.584M,3.3344,20.3478,784.1,14.04,6.968,7.61,-1.63,-1.18,1.62,0.107,,5.397,
1997-03-28,0.61,5.584M,3.2942,20.1028,773.88,14.05,7.088,7.63,-1.31,0.74,-0.45,0.107,,5.365,
1997-04-04,0.62,5.491M,3.2127,19.0514,757.9,15.45,7.124,7.71,-2.16,0.15,-0.18,0.108,1.9,5.272,2.8
1997-04-11,0.62,5.325M,3.143,18.8107,737.65,16.73,7.166,7.74,-2.31,1.7,1.12,0.108,,5.282,
1997-04-18,0.61,5.545M,3.3095,19.8086,766.34,17.29,7.053,7.73,2.88,-2.58,0.02,0.108,,5.282,
1997-04-25,0.6,5.54M,3.3065,19.8102,765.37,17.16,7.142,7.75,-0.82,-1.22,0.53,0.108,,5.303,
1997-05-02,0.62,5.909M,3.4387,20.3507,812.97,19.97,6.875,7.64,6.1,-1.7,-1.46,0.123,1.98,5.22,2.5
1997-05-09,0.62,5.987M,3.4883,20.6268,824.78,18.8,6.891,7.56,1.57,0.91,-1.17,0.123,,5.157,
1997-05-16,0.62,6.05M,3.5428,21.0296,829.75,19.39,6.9,7.55,0.63,0.5,-0.13,0.123,,5.178,
1997-05-23,0.62,6.177M,3.6187,21.4797,847.03,17.02,6.987,7.6,2.05,0.87,-1.32,0.123,,5.157,
1997-05-30,0.61,6.145M,3.5893,21.2051,848.28,16.73,6.906,7.64,0.42,1.02,-0.22,0.123,,4.939,
1997-06-06,0.62,6.193M,3.6501,21.605,858.01,16.13,6.774,7.51,1.18,0.41,0.99,0.092,1.82,5.043,2.2
1997-06-13,0.62,6.45M,3.8242,22.6968,893.27,14.11,6.724,7.44,3.34,-2.58,0.58,0.092,,4.96,
1997-06-20,0.61,6.483M,3.876,23.0166,898.7,12.2,6.661,7.33,0.7,-0.09,0.16,0.092,,5.064,
1997-06-27,0.6,6.385M,3.849,22.8561,887.3,14.26,6.742,7.36,-1.06,1.71,0.38,0.092,,5.136,
1997-07-04,0.59,6.659M,3.8121,22.4745,916.92,14.82,6.627,7.35,2.82,-1.29,-0.43,0.107,1.73,5.126,2.3
1997-07-11,0.6,6.66M,3.8167,22.4981,916.68,15.23,6.529,7.19,0.38,1.2,-0.33,0.107,,5.126,
1997-07-18,0.61,6.663M,3.8462,22.82,915.3,15.98,6.53,7.15,0.13,1.35,-0.79,0.107,,5.24,
1997-07-25,0.61,6.836M,3.9472,23.419,938.79,16.47,6.454,7.09,2.05,-1.32,-0.15,0.107,,5.22,
1997-08-01,0.61,6.913M,3.9365,23.2184,947.14,16.67,6.454,7.01,1,-0.16,1.4,0.103,1.64,5.272,2.2
1997-08-08,0.61,6.783M,3.8805,22.8759,933.54,15.22,6.635,7.15,-1.22,2.03,-0.29,0.103,,5.282,
1997-08-15,0.6,6.588M,3.7452,22.0794,900.81,16.56,6.546,7.26,-2.82,1.45,1.59,0.103,,5.24,
1997-08-22,0.63,6.723M,3.8417,22.6557,923.55,18.08,6.649,7.22,2.04,-0.32,-0.92,0.103,,5.23,
1997-08-29,0.54,6.578M,3.7141,21.9339,899.47,17.2,6.611,7.28,-1.56,3.5,0.76,0.103,,5.22,
1997-09-05,0.54,6.784M,3.8356,22.6429,929.05,18.3,6.642,7.25,2.91,-0.67,-0.08,0.111,1.65,5.147,2.2
1997-09-12,0.53,6.745M,3.8158,22.5081,923.91,18.87,6.587,7.28,-0.09,1.92,0.86,0.111,,5.085,
1997-09-19,0.58,6.942M,3.9359,23.2303,950.51,19.62,6.378,7.09,2.51,-1.1,-0.26,0.111,,5.043,
1997-09-26,0.61,6.912M,3.9246,23.2145,945.22,17.84,6.367,7.02,-0.4,1.48,-0.14,0.111,,4.982,
1997-10-03,0.6,7.061M,3.9336,23.0782,965.03,16.27,6.294,7.01,1.96,0.09,0.28,0.105,1.64,5.013,2.2
1997-10-10,0.6,7.077M,3.9528,23.1813,966.98,16.16,6.43,7,0.47,1.36,-0.65,0.105,,5.115,
1997-10-17,0.59,6.919M,3.8902,22.7987,944.16,14.62,6.439,7.05,-2.56,-0.93,1.3,0.105,,5.043,
1997-10-24,0.52,6.907M,3.8823,22.7611,941.64,15.86,6.273,7.05,-0.26,-0.24,0.57,0.105,,5.126,
1997-10-31,0.56,6.709M,3.7113,21.8119,914.62,30.19,6.153,6.93,-3.14,-0.27,0.66,0.105,1.62,5.199,2.1
1997-11-07,0.54,6.809M,3.7629,22.1002,927.51,31.15,6.155,6.93,1.07,-0.97,0.05,0.098,,5.293,
1997-11-14,0.56,6.823M,3.7694,22.1343,928.35,31.83,6.113,6.88,-0.41,-1.21,0.08,0.098,,5.251,
1997-11-21,0.55,7.081M,3.9212,23.0388,963.09,32.65,6.033,6.83,3.15,-2.26,0.08,0.098,,5.24,
1997-11-28,0.55,7.028M,3.8761,22.7584,955.4,32.71,6.054,6.83,-0.82,-0.75,1.06,0.098,,5.198,
1997-12-05,0.55,7.24M,3.9871,23.4294,983.79,32.16,6.084,6.81,2.76,-1.71,0.3,0.119,1.64,5.313,1.8
1997-12-12,0.55,7.012M,3.8628,22.7032,953.39,17.99,5.925,6.84,-3.35,-0.92,2.96,0.119,,5.168,
1997-12-19,0.56,6.954M,3.8407,22.5871,946.78,16.72,5.922,6.74,-0.67,-0.67,0.49,0.119,,5.376,
1997-12-26,0.58,6.867M,3.7992,22.34,936.46,16.09,5.9,6.68,-0.93,0.83,1.2,0.119,,5.333,
1998-01-02,0.57,7.171M,3.9102,22.3612,975.04,16.13,5.838,6.7,3.81,0.03,-1.78,0.107,1.61,5.292,1.7
