Date,Spread,Mcap,Value,P/E,Close,Volatility,30y_yield
27/08/21,0.71,37.666M,4.7035,27.201,4509.37,9.36,1.9167
20/08/21,0.7,37.095M,4.6329,26.7928,4441.67,10.54,1.8688
13/08/21,0.69,37.327M,4.6604,26.9516,4468,10.4,1.9291
06/08/21,0.67,37.067M,4.6277,26.7631,4436.52,10.63,1.9454
30/07/21,0.68,36.752M,4.6044,26.6823,4395.26,10.97,1.8922
23/07/21,0.68,36.938M,4.6215,26.8096,4411.79,11.73,1.9151
16/07/21,0.66,36.169M,4.5215,26.2502,4327.16,9.07,1.9192
09/07/21,0.66,36.528M,4.5659,26.5077,4369.55,8.89,1.9889
02/07/21,0.69,36.382M,4.5572,26.655,4352.34,8.19,2.0404
25/06/21,0.66,35.78M,4.6218,29.9152,4280.7,9.06,2.1487
18/06/21,0.66,34.83M,4.498,29.0712,4166.45,12.39,2.0127
11/06/21,0.64,35.497M,4.5861,29.6416,4247.44,12.25,2.1379
04/06/21,0.64,35.336M,4.5691,29.526,4229.89,12.53,2.2313
28/05/21,0.67,35.126M,4.5465,29.6062,4204.11,13.41,2.2824
21/05/21,0.66,34.729M,4.4945,29.2733,4155.86,13.7,2.3176
14/05/21,0.65,34.877M,4.5139,29.3999,4173.85,13.23,2.3401
07/05/21,0.67,35.365M,4.5767,29.822,4232.6,10.16,2.2769
30/04/21,0.69,34.947M,4.5158,29.7124,4181.17,11.24,2.2967
23/04/21,0.7,34.821M,4.5156,29.8291,4180.17,12.07,2.2339
16/04/21,0.72,34.877M,4.5211,29.8669,4185.47,11.56,2.2649
09/04/21,0.7,34.399M,4.4598,29.4622,4128.8,15.7,2.3293
26/03/21,0.71,33.129M,4.2035,32.3651,3974.54,17.44,2.3781
19/03/21,0.7,32.527M,4.1304,31.6112,3913.1,16.47,2.4333
12/03/21,0.72,32.77M,4.1622,31.8546,3943.34,16.97,2.3776
05/03/21,0.69,31.925M,4.0554,31.0224,3841.94,19.32,2.2974
26/02/21,0.69,31.671M,4.0273,30.7859,3811.15,16.67,2.1513
19/02/21,0.73,32.478M,4.1287,31.5435,3906.71,14.4,2.1335
12/02/21,0.73,32.71M,4.1586,31.7734,3934.83,15.78,2.0086
05/02/21,0.72,32.291M,4.1049,31.3808,3886.83,15.89,1.9711
29/01/21,0.76,30.851M,3.9288,30.1904,3714.24,14.61,1.8291
22/01/21,0.74,31.918M,4.0628,31.2263,3841.47,10.79,1.8466
15/01/21,0.79,31.301M,3.9849,30.5932,3768.25,10.48,1.8331
08/01/21,0.88,31.756M,4.0454,31.0479,3824.68,10.36,1.8733
18/12/20,0.88,30.292M,4.0629,28.6258,3709.41,12.05,1.6918
11/12/20,0.88,29.909M,4.0136,28.269,3663.46,14.61,1.627
04/12/20,0.94,30.205M,4.0527,28.5439,3699.12,20.35,1.7344
27/11/20,0.94,29.706M,3.9878,28.079,3638.35,20.78,1.5699
20/11/20,0.97,29.043M,3.8981,27.5039,3557.54,20.45,1.5196
13/11/20,1,29.257M,3.9428,27.7683,3585.15,21.47,1.6469
06/11/20,1.07,28.65M,3.8596,27.1751,3509.44,21.61,1.6
30/10/20,1.06,26.692M,3.6022,25.4052,3269.96,21.54,1.6598
23/10/20,1.07,28.298M,3.8186,26.9414,3465.39,17.81,1.641
16/10/20,1.11,28.452M,3.8389,27.085,3483.81,21.02,1.5287
09/10/20,1.1,28.408M,3.8316,27.0372,3477.13,23.7,1.5717
02/10/20,1.09,27.325M,3.6929,26.02,3348.44,22.3,1.4868
25/09/20,1.06,26.893M,3.7052,25.0885,3298.46,21.4,1.4007
18/09/20,1.04,27.033M,3.7339,25.2055,3319.47,19.59,1.4532
11/09/20,1.03,27.209M,3.7582,25.3694,3340.97,18.94,1.4116
04/09/20,1.02,27.898M,3.8555,26.0266,3426.96,15.33,1.4714
28/08/20,0.98,28.557M,3.9497,26.6298,3508.01,10.03,1.501
21/08/20,0.99,27.652M,3.8253,25.7917,3397.16,10.47,1.3407
14/08/20,1.06,27.451M,3.7981,25.6112,3372.85,12.2,1.4471
07/08/20,1.1,27.273M,3.7738,25.4471,3351.28,12.9,1.2336
31/07/20,1.14,26.62M,3.6863,24.8352,3271.12,17.8,1.1925
24/07/20,1.15,26.202M,3.6304,24.4759,3215.63,18.16,1.2293
17/07/20,1.19,26.279M,3.6407,24.544,3224.73,26.3,1.3289
10/07/20,1.19,25.955M,3.5961,24.2441,3185.04,27.19,1.3359
26/06/20,1.18,24.515M,3.4565,20.817,3009.05,28.41,1.3701
19/06/20,1.19,25.202M,3.548,21.3206,3097.74,27.41,1.4582
12/06/20,1.21,24.741M,3.483,20.9278,3041.31,27.45,1.4568
05/06/20,1.4,25.975M,3.6576,21.9766,3193.93,22.68,1.6656
29/05/20,1.38,24.763M,3.4823,20.8617,3044.31,25.43,1.4064
22/05/20,1.47,24.035M,3.3812,20.2584,2955.45,28.36,1.3705
15/05/20,1.5,23.245M,3.2736,19.6209,2863.7,34.45,1.3266
08/05/20,1.49,23.766M,3.319,20.0802,2929.8,38.55,1.3828
01/05/20,1.5,22.955M,3.2042,19.2982,2830.71,51.52,1.2486
24/04/20,1.57,23.042M,3.2115,19.3448,2836.74,69.92,1.1696
17/04/20,1.68,23.355M,3.2542,19.5814,2874.56,85.99,1.2601
03/04/20,1.89,20.259M,2.822,16.9223,2488.65,85.25,1.2094
27/03/20,1.67,20.653M,2.7346,16.4206,2541.47,83.44,1.2635
20/03/20,1.14,18.733M,2.4788,14.8931,2304.92,74.23,1.4169
13/03/20,1.11,22.012M,2.9156,17.5176,2711.02,60.08,1.5293
06/03/20,0.92,24.151M,3.1965,19.2006,2972.37,32.36,1.2874
28/02/20,0.83,24.004M,3.1765,19.0743,2954.22,22.09,1.6752
21/02/20,0.81,27.144M,3.589,21.5321,3337.75,12.21,1.9147
14/02/20,0.84,27.499M,3.6347,21.805,3380.16,11.73,2.0391
07/02/20,0.84,27.076M,3.5782,21.4664,3327.71,12.12,2.0484
31/01/20,0.84,26.248M,3.4695,20.8021,3225.52,10.71,1.9996
24/01/20,0.83,26.819M,3.5462,21.2555,3295.47,7.49,2.1324
17/01/20,0.83,27.11M,3.5836,21.4795,3329.62,7.11,2.2807
